VENITURI TOTALE;Casa si conturi la banci;CHELTUIELI TOTALE;Pierdere neta;DATORII;Cifra de afaceri neta;Numar mediu de salariati;ACTIVE IMOBILIZATE - TOTAL;VENITURI IN AVANS;Profitul net;Pierdere bruta;Profitul brut;CHELTUIELI IN AVANS;ACTIVE CIRCULANTE - TOTAL din care:;CUI;CAEN;DENUMIRE;COD_INMATRICULARE
90087;2146;47139;0;4521;78000;0;15002;14962;40889;0;42948;0;63831;41177795;9329;TESI FUN & JOY S.R.L.;J1/1067/2019
560;8021;8839;8279;0;560;0;1985;0;0;8279;0;0;8021;41170797;9329;FEEL FREE EVENTS S.R.L.;J1/1061/2019
69938;10125;22320;0;0;48000;0;8720;560;47618;0;47618;0;10125;41170797;9329;FEEL FREE EVENTS S.R.L.;J1/1061/2019
22318;13103;66842;44524;0;0;1;28062;70498;0;44524;0;0;13103;41170797;9329;FEEL FREE EVENTS S.R.L.;J1/1061/2019
190736;5925;178668;0;14281;186584;3;0;0;10255;0;12068;0;30793;39063977;9313;FIT SUPER SPORT S.R.L.;J2/434/2018
0;5258;0;0;7638;0;0;0;0;0;0;0;0;34565;39063977;9313;FIT SUPER SPORT S.R.L.;J2/434/2018
0;5258;0;0;7638;0;0;0;0;0;0;0;0;34565;39063977;9313;FIT SUPER SPORT S.R.L.;J2/434/2018
153459;5258;141273;0;7638;153459;2;0;0;10415;0;12186;0;34565;39063977;9313;FIT SUPER SPORT S.R.L.;J2/434/2018
0;500;0;0;1000;0;0;0;0;0;0;0;0;500;40034304;9313;GIMNASTIC DIVA S.R.L.;J4/1600/2018
13250;8919;10137;0;0;13250;1;1374;0;2980;0;3113;0;17930;36965282;9329;ZÂMBILICI SRL-D;J4/84/2017
33690;104;37927;4572;7900;33690;1;0;0;0;4237;0;0;9115;36965282;9329;ZÂMBILICI SRL-D;J4/84/2017
13130;1593;20928;8019;4816;13130;1;0;0;0;7798;0;0;10604;36965282;9329;ZÂMBILICI SRL-D;J4/84/2017
1200;4207;6661;5497;36;1200;0;625;0;0;5461;0;0;13218;36965282;9329;ZÂMBILICI SRL-D;J4/84/2017
171902;5902;167275;0;36445;148531;0;55807;27204;3967;0;4627;0;7973;41199831;9329;AMBASSADOR EVENT PLANNER S.R.L.;J27/702/2019
144023;34784;207129;63106;168877;141330;1;61037;0;0;63106;0;0;89463;40093750;9313;HAIR & CARE S.R.L.-D.;J38/911/2018
0;499;407;407;1571;0;0;1179;0;0;407;0;0;499;42971050;9319;PROFESIONAL SPORT MANAGEMENT S.R.L.;J38/648/2020
0;1477;0;0;211;0;0;0;0;0;0;0;0;1477;39966096;9313;ALEXFIT KISS S.R.L.-D.;J8/2291/2018
0;1477;0;0;211;0;0;0;0;0;0;0;0;1477;39966096;9313;ALEXFIT KISS S.R.L.-D.;J8/2291/2018
2176;679;1678;0;55850;2176;0;51900;0;433;0;498;0;4251;41854140;9329;MIRAMONTE EVENTS S.R.L.;J32/1973/2019
10976;183;30119;19190;504587;10976;0;458021;0;0;19143;0;0;35730;41854140;9329;MIRAMONTE EVENTS S.R.L.;J32/1973/2019
48036;2874;38753;0;160889;48036;0;156732;0;7842;0;9283;0;12511;41854140;9329;MIRAMONTE EVENTS S.R.L.;J32/1973/2019
2761;467;2467;0;172804;2736;0;156901;0;212;0;294;0;16416;41854140;9329;MIRAMONTE EVENTS S.R.L.;J32/1973/2019
0;200;100;100;1800;0;0;0;0;0;100;0;0;200;39594758;9329;CONCORDIS ART MANAGEMENT S.R.L.-D.;J32/974/2018
9666709;444660;8387346;0;1780145;9566161;8;1644300;428623;1048716;0;1279363;11020;1633126;38224749;9312;TTW SPORT DESIGN GRUP SRL;J28/1114/2017
4694854;1110411;3109413;0;1342014;4250807;9;1537797;544865;1550231;0;1585441;0;1938757;38224749;9313;TTW SPORT DESIGN GRUP SRL;J28/1114/2017
3979329;191159;2591527;0;3042131;3823103;7;4671934;0;1352067;0;1387802;1742;776898;37810189;9313;VLAXIFIT SRL;J26/1173/2017
7562786;6664;7430374;0;5381742;7458684;7;9334049;0;74333;0;132412;1911;590357;37810189;9313;VLAXIFIT SRL;J26/1173/2017
6753068;90401;5257410;0;5685541;6730370;9;8695411;0;1290086;0;1495658;714;1518481;37810189;9313;VLAXIFIT SRL;J26/1173/2017
6201958;178151;4335895;0;2559408;6125750;7;5537178;0;1783990;0;1866063;714;322495;37810189;9313;VLAXIFIT SRL;J26/1173/2017
394779;8325;265468;0;40052;392474;2;59866;0;125363;0;129311;0;146674;38753790;9313;FITXTREME S.R.L.;J26/111/2018
5829728;216297;4397542;0;1370931;5829000;16;1563308;0;1217039;0;1432186;4266;1218354;38753790;9313;FITXTREME S.R.L.;J26/111/2018
1266036;146206;1141253;0;1055515;1264558;5;896037;0;114875;0;124783;45;442598;38753790;9313;FITXTREME S.R.L.;J26/111/2018
323029;7396;313795;0;26112;321712;1;52176;0;1802;0;9234;75;142151;38753790;9313;FITXTREME S.R.L.;J26/111/2018
127095;15828;67189;0;42847;37440;2;37946;0;59532;0;59906;0;55511;41255885;9329;EDU TRIPS & TIPS S.R.L.;J28/774/2019
0;858;19700;19700;29340;0;0;19709;0;0;19700;0;0;40540;41255885;9329;EDU TRIPS & TIPS S.R.L.;J28/774/2019
135318;31464;113949;0;13192;129316;3;15525;0;20076;0;21369;0;41391;38115512;9313;ACTIVE FIT CONCEPT SRL;J29/2112/2017
235005;5668;200415;0;37693;235005;0;71449;0;32240;0;34590;0;18125;38115512;9313;ACTIVE FIT CONCEPT SRL;J29/2112/2017
156946;11308;135936;0;12891;156888;3;11103;0;19441;0;21010;0;21429;38115512;9313;ACTIVE FIT CONCEPT SRL;J29/2112/2017
141497;37873;118395;0;4510;143175;3;13099;0;21670;0;23102;0;46803;38115512;9313;ACTIVE FIT CONCEPT SRL;J29/2112/2017
64335;329;75394;11405;5879;48367;2;154357;153578;0;11059;0;0;1825;37884623;9313;BADASS LADY  SRL;J29/1687/2017
30936;4513;31173;237;0;0;0;91485;90707;0;237;0;0;4519;37884623;9313;BADASS LADY  SRL;J29/1687/2017
54164;5276;33079;0;521;20497;1;122421;121642;20355;0;21085;0;5276;37884623;9313;BADASS LADY  SRL;J29/1687/2017
59637;1902;70747;11547;17925;43669;1;138389;137610;0;11110;0;0;2325;37884623;9313;BADASS LADY  SRL;J29/1687/2017
3991024;477755;3944155;0;1824408;3976884;1;339990;108286;27442;0;46869;0;1692080;37820476;9329;BALVIA DEVELOPMENT S.R.L.;J35/2612/2017
5871117;581052;5729343;0;4711533;5862375;1;352856;499;70734;0;141774;0;4431111;37820476;9329;BALVIA DEVELOPMENT S.R.L.;J35/2612/2017
2737735;313134;1925811;0;692521;2720822;12;774682;0;747481;0;811924;0;665760;36257057;9329;FLANINO KIDS SRL;J35/1907/2016
0;200;37000;37000;37000;0;0;0;0;0;37000;0;0;200;37953669;9329;XOXOOXOX SRL;J35/3078/2017
3811501;8194;3192002;0;1810573;3797757;3;22520;0;582697;0;619499;0;2370950;38125702;9329;SMART NA SERVICES SRL;J36/644/2017
0;1215;0;0;3598871;0;0;0;0;0;0;0;0;1657179;38125702;9329;SMART NA SERVICES SRL;J36/644/2017
0;1215;55;55;3598860;0;0;0;0;0;55;0;0;1657169;38125702;9329;SMART NA SERVICES SRL;J36/644/2017
0;1215;50333;50333;1832976;0;0;0;0;0;50333;0;0;1783495;38125702;9329;SMART NA SERVICES SRL;J36/644/2017
6960;3645;6345;0;241;6960;0;144;0;406;0;615;0;3645;38452542;9329;ATELIERUL BUBURUZEI SRL;J22/3371/2017
95514;32210;86121;0;3596;78486;1;1722;129022;7965;0;9393;0;139143;41089014;9329;RODY FLOWERS S.R.L.;J34/495/2019
155360;1404;156734;1880;23016;50505;2;26427;4694;0;1374;0;741;1511;41347989;9329;HOBBY TRUCK MOLDOVA S.R.L.;J22/2325/2019
